"Species"	"Order"	"Suborder"	"Family"	"Genus"	"Description.author.s"	"Description.year"	"Subspecies"	"Main.biogeographic.region"	"Microhabitat"	"Habitat.type"	"Minimal.elevation..m."	"Maximum.elevation..m."	"Mean.Annual.Temperature...C."	"Temperature.Seasonality..standard.deviation.100."	"Seasonality.Precipitation..coefficient.of.variation...100."	"Insular.endemic..yes.or.no."	"Venomous..yes.or.no."	"Diet"	"Diet..comments"	"Active.time"	"Dorsal.colour"	"Dorsal.pattern"	"Foraging.mode"	"Pupil.Shape"	"Fangs"	"Maximum.Longevity..years."	"Maximum.body.mass..g."	"Maximum.total.length...TL...mm."	"Maximum.length...SVL...mm..straight.carapace.length.for.turtles...SCL...mm."	"Maximum.female.length...SVL...mm..straight.carapace.length.for.turtles...SCL...mm."	"Maximum.male.length...SVL...mm..straight.carapace.length.for.turtles...SCL...mm."	"Maximum.juvenile.length...SVL...mm..straight.carapace.length.for.turtles...SCL...mm."	"Hatchling.neonate.mass..g."	"Reproductive.mode"	"Sex.determining.mechanism..GSD.or.TSD."	"Mean.number.of.offspring.per.litter.or.number.of.eggs.per.clutch"	"Smallest.clutch.size"	"Largest.clutch.size"	"Number.of.litters.or.clutches.produced.per.year"	"Egg.length..mm."	"Egg.width..mm."	"Mean.Tb"	"Minimum.Tb"	"Maximum.Tb"	"Genetic.data..yes.or.not."	"IUCN.redlist.assessment"	"IUCN.population.trend"	"X"
"Amphisbaena camura"	"Squamata"	"Amphisbaenia"	"Amphisbaenidae"	"Amphisbaena"	"Cope"	1862	"No"	"Neotropic"	"Fossorial"	"Forest/Savanna"	648	704	NA	NA	20.34	"No"	"No"	"Carnivorous"	"mouse (in captivity? Gans 1966)"	"Nocturnal"	NA	NA	NA	NA	"non-fanged"	NA	195	NA	535	NA	NA	NA	NA	"oviparous"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"Yes"	"Least Concern"	"Stable"	NA
"Amphisbaena carli"	"Squamata"	"Amphisbaenia"	"Amphisbaenidae"	"Amphisbaena"	"Pinna, Mendonça, Bocchiglieri & Fernandes"	2010	"No"	"Neotropic"	"Fossorial"	"Savanna"	NA	NA	NA	NA	NA	"No"	"No"	NA	NA	NA	NA	NA	NA	NA	"non-fanged"	NA	12.3	NA	269	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"Yes"	"Least Concern"	"Unknown"	NA
"Amphisbaena carvalhoi"	"Squamata"	"Amphisbaenia"	"Amphisbaenidae"	"Amphisbaena"	"Gans"	1965	"No"	"Neotropic"	"Fossorial"	"Savanna/Shrubland"	NA	NA	NA	NA	NA	"No"	"No"	NA	NA	NA	NA	NA	NA	NA	"non-fanged"	NA	NA	NA	129	121	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"No"	"Endangered"	"Unknown"	NA
"Amphisbaena crisae"	"Squamata"	"Amphisbaenia"	"Amphisbaenidae"	"Amphisbaena"	"Vanzolini"	1997	"No"	"Neotropic"	"Fossorial"	"Savanna"	NA	NA	NA	NA	NA	"No"	"No"	NA	NA	NA	NA	NA	NA	NA	"non-fanged"	NA	NA	NA	149	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"No"	"Data Deficient"	"Unknown"	NA
"Amphisbaena cuiabana"	"Squamata"	"Amphisbaenia"	"Amphisbaenidae"	"Amphisbaena"	"Strüssman & Carvalho"	2001	"No"	"Neotropic"	"Fossorial"	"Savanna"	262	448	NA	NA	14.11	"No"	"No"	"Carnivorous"	"insects (StrussmannAnd Carvalho 2001)"	NA	NA	NA	NA	NA	"non-fanged"	NA	23.4	NA	316	212.6	NA	NA	NA	"oviparous"	NA	2	2	2	NA	NA	NA	NA	NA	NA	"Yes"	"Least Concern"	"Unknown"	NA
"Amphisbaena cunhai"	"Squamata"	"Amphisbaenia"	"Amphisbaenidae"	"Amphisbaena"	"Hoogmoed & Avila"	1991	"No"	"Neotropic"	"Fossorial"	"Forest/Grassland"	NA	NA	NA	NA	9.95	"No"	"No"	NA	NA	NA	NA	NA	NA	NA	"non-fanged"	NA	213.8	NA	550	198.4	NA	105	NA	"oviparous"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"Yes"	"Least Concern"	"Unknown"	NA
"Amphisbaena darwinii"	"Squamata"	"Amphisbaenia"	"Amphisbaenidae"	"Amphisbaena"	"Duméril & Bibron"	1839	"No"	"Neotropic"	"Fossorial"	NA	NA	NA	NA	NA	21.7	"No"	"No"	"Carnivorous"	"Arthropods (Kearney 2003, Carreira etAl. 2005)"	NA	NA	NA	NA	NA	"non-fanged"	NA	39.8	NA	360	NA	NA	NA	NA	"oviparous"	NA	5	2	8	NA	NA	NA	NA	NA	NA	"Yes"	"Least Concern"	"Stable"	NA
"Amphisbaena dubia"	"Squamata"	"Amphisbaenia"	"Amphisbaenidae"	"Amphisbaena"	"Müller"	1924	"No"	"Neotropic"	"Fossorial"	"Forest"	NA	NA	NA	NA	17.88	"No"	"No"	NA	NA	"Nocturnal"	NA	NA	NA	NA	"non-fanged"	NA	13.5	NA	276	180	NA	NA	NA	"oviparous"	NA	3.5	3	4	NA	NA	NA	NA	NA	NA	"No"	"Least Concern"	"Unknown"	NA
"Amphisbaena filiformis"	"Squamata"	"Amphisbaenia"	"Amphisbaenidae"	"Amphisbaena"	"Ribeiro, Gomes, Rodrigues Da Silva, Cintra & Da Silva"	2016	"No"	"Neotropic"	"Fossorial"	NA	NA	NA	NA	NA	NA	"No"	"No"	NA	NA	NA	NA	NA	NA	NA	"non-fanged"	NA	NA	NA	232	190	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"No"	NA	NA	NA
"Amphisbaena frontalis"	"Squamata"	"Amphisbaenia"	"Amphisbaenidae"	"Amphisbaena"	"Vanzolini"	1991	"No"	"Neotropic"	"Fossorial"	"Forest/Shrubland"	NA	NA	NA	NA	NA	"No"	"No"	NA	NA	NA	NA	NA	NA	NA	"non-fanged"	NA	15.3	NA	284	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"No"	"Endangered"	"Unknown"	NA
"Amphisbaena fuliginosa"	"Squamata"	"Amphisbaenia"	"Amphisbaenidae"	"Amphisbaena"	"Linnaeus"	1758	"Amphisbaena fuliginosa fuliginosa LINNAEUS 1758
Amphisbaena fuliginosa amazonica VANZOLINI 1951
Amphisbaena fuliginosa bassleri VANZOLINI 1951
Amphisbaena fuliginosa varia LAURENTI 1768
Amphisbaena fuliginosa wiedi VANZOLINI 1951"	"Neotropic"	"Fossorial"	"Forest/Savanna"	60	1000	NA	NA	15.9	"No"	"No"	"Carnivorous"	"invertebrates, egg shells (Murphy 1997) small vertebrates (Avila-Pires etAl. 2010),Arthropods (Starace 2013)"	"Nocturnal"	NA	NA	NA	NA	"non-fanged"	NA	147.9	NA	500	415	NA	105	NA	"oviparous"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"Yes"	"Least Concern"	"Stable"	NA
"Amphisbaena hastata"	"Squamata"	"Amphisbaenia"	"Amphisbaenidae"	"Amphisbaena"	"Vanzolini"	1991	"No"	"Neotropic"	"Fossorial"	"Savanna"	262	448	NA	NA	41.61	"No"	"No"	NA	NA	"Diurnal"	NA	NA	NA	NA	"non-fanged"	NA	1.3	NA	152	NA	NA	61	NA	"oviparous"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"Yes"	"Least Concern"	"Unknown"	NA
"Amphisbaena heathi"	"Squamata"	"Amphisbaenia"	"Amphisbaenidae"	"Amphisbaena"	"Schmidt"	1936	"No"	"Neotropic"	"Fossorial"	"Savanna/Shrubland"	NA	NA	NA	NA	42.97	"No"	"No"	"Carnivorous"	"invertebrates, mostlyAnts (Lisboa etAl. 2016)"	NA	NA	NA	NA	NA	"non-fanged"	NA	0.8	NA	136	115	NA	56.5	NA	"oviparous"	NA	3	NA	NA	NA	NA	NA	NA	NA	NA	"No"	"Near Threatened"	"Unknown"	NA
"Amphisbaena hiata"	"Squamata"	"Amphisbaenia"	"Amphisbaenidae"	"Amphisbaena"	"Montero & Céspedez"	2002	"No"	"Neotropic"	"Fossorial"	"Forest/Savanna"	NA	NA	NA	NA	NA	"No"	"No"	NA	NA	NA	NA	NA	NA	NA	"non-fanged"	NA	4.1	NA	204	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"No"	"Data Deficient"	"Unknown"	NA
"Amphisbaena hogei"	"Squamata"	"Amphisbaenia"	"Amphisbaenidae"	"Amphisbaena"	"Vanzolini"	1950	"No"	"Neotropic"	"Fossorial"	"Forest"	NA	NA	NA	NA	NA	"No"	"No"	NA	NA	NA	NA	NA	NA	NA	"non-fanged"	NA	NA	NA	130	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"No"	"Least Concern"	"Unknown"	NA
"Amphisbaena hoogmoedi"	"Squamata"	"Amphisbaenia"	"Amphisbaenidae"	"Amphisbaena"	"Oliveira, Vaz-Silva, Santos-Jr, Graboski, Teixeira Jr, Dal Vechio & Ribeiro"	2018	"No"	"Neotropic"	"Fossorial"	NA	NA	NA	NA	NA	NA	"No"	"No"	NA	NA	NA	NA	NA	NA	NA	"non-fanged"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"No"	NA	NA	NA
"Amphisbaena ignatiana"	"Squamata"	"Amphisbaenia"	"Amphisbaenidae"	"Amphisbaena"	"Vanzolini"	1991	"No"	"Neotropic"	"Fossorial"	"Forest"	218	417	NA	NA	43.96	"No"	"No"	NA	NA	NA	NA	NA	NA	NA	"non-fanged"	NA	3	NA	188	NA	NA	NA	NA	"oviparous"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"Yes"	"Data Deficient"	"Unknown"	NA
"Amphisbaena kingii"	"Squamata"	"Amphisbaenia"	"Amphisbaenidae"	"Amphisbaena"	"Bell"	1833	"No"	"Neotropic"	"Fossorial"	"Grassland/Savanna"	NA	NA	NA	NA	23.6	"No"	"No"	"Carnivorous"	"insects (Vega 2001)/Arthropods (AchavalAnd Olmos 2007, Carreira etAl. 2005), mainly termites (Lisboa etAl. 2016)"	NA	NA	NA	NA	NA	"non-fanged"	NA	7.9	NA	242	201.5	NA	NA	NA	"oviparous"	NA	2.6	2	4	NA	NA	NA	NA	NA	NA	"Yes"	"Least Concern"	"Unknown"	NA
"Amphisbaena kiriri"	"Squamata"	"Amphisbaenia"	"Amphisbaenidae"	"Amphisbaena"	"Ribeiro, Gomides & Costa"	2018	"No"	"Neotropic"	"Fossorial"	NA	NA	NA	NA	NA	NA	"No"	"No"	NA	NA	NA	NA	NA	NA	NA	"non-fanged"	NA	37.7	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"No"	NA	NA	NA
"Amphisbaena kraoh"	"Squamata"	"Amphisbaenia"	"Amphisbaenidae"	"Amphisbaena"	"Vanzolini"	1971	"No"	"Neotropic"	"Fossorial"	"Savanna"	218	417	NA	NA	17.46	"No"	"No"	NA	NA	NA	NA	NA	NA	NA	"non-fanged"	NA	20.4	NA	305	NA	NA	NA	NA	"oviparous"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"Yes"	"Least Concern"	"Unknown"	NA
"Amphisbaena leeseri"	"Squamata"	"Amphisbaenia"	"Amphisbaenidae"	"Amphisbaena"	"Gans"	1964	"No"	"Neotropic"	"Fossorial"	"Savanna"	723	816	NA	NA	18.2	"No"	"No"	NA	NA	NA	NA	NA	NA	NA	"non-fanged"	NA	1.4	NA	156	NA	NA	NA	NA	"oviparous"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"Yes"	"Least Concern"	"Unknown"	NA
"Amphisbaena leucocephala"	"Squamata"	"Amphisbaenia"	"Amphisbaenidae"	"Amphisbaena"	"Peters"	1878	"No"	"Neotropic"	"Fossorial"	"Forest"	NA	NA	NA	NA	NA	"No"	"No"	NA	NA	NA	NA	NA	NA	NA	"non-fanged"	NA	35.2	NA	364	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"Yes"	"Least Concern"	"Unknown"	NA
"Amphisbaena littoralis"	"Squamata"	"Amphisbaenia"	"Amphisbaenidae"	"Amphisbaena"	"Roberto, Brito & Ávila"	2014	"No"	"Neotropic"	"Fossorial"	"Shrubland"	NA	NA	NA	NA	NA	"No"	"No"	NA	NA	NA	NA	NA	NA	NA	"non-fanged"	NA	14	NA	278	257.3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"No"	"Data Deficient"	"Unknown"	NA
"Amphisbaena longinqua"	"Squamata"	"Amphisbaenia"	"Amphisbaenidae"	"Amphisbaena"	"Texeira Junior, Dal Vechio, Recoder, Cassimiro, Sena & Rodrigues"	2019	"No"	"Neotropic"	"Fossorial"	NA	NA	NA	NA	NA	NA	"No"	"No"	NA	NA	NA	NA	NA	NA	NA	"non-fanged"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"No"	NA	NA	NA
"Amphisbaena maranhensis"	"Squamata"	"Amphisbaenia"	"Amphisbaenidae"	"Amphisbaena"	"Gomes & Maciel"	2012	"No"	"Neotropic"	"Fossorial"	"Savanna"	NA	NA	NA	NA	NA	"No"	"No"	NA	NA	NA	NA	NA	NA	NA	"non-fanged"	NA	NA	NA	125	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"No"	"Data Deficient"	"Unknown"	NA
"Amphisbaena mebengokre"	"Squamata"	"Amphisbaenia"	"Amphisbaenidae"	"Amphisbaena"	"Ribeiro, Sá, Santos Jr, Graboski, Zaher, Guedes, Andrade & Vaz-Silva"	2019	"No"	"Neotropic"	"Fossorial"	NA	NA	NA	NA	NA	NA	"No"	"No"	NA	NA	NA	NA	NA	NA	NA	"non-fanged"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"No"	NA	NA	NA
"Amphisbaena mertensii"	"Squamata"	"Amphisbaenia"	"Amphisbaenidae"	"Amphisbaena"	"Strauch"	1881	"No"	"Neotropic"	"Fossorial"	"Forest/Savanna"	650	660	21.67	2543.2	19.36	"No"	"No"	"Carnivorous"	"invertebrates (in captivity,Andrade etAl. 2006) / termites (Bernardo-Silva etAl. 2006), mainlyAnts (Lisboa etAl. 2016)"	NA	NA	NA	NA	NA	"non-fanged"	NA	66.1	NA	410	366.7	NA	107	NA	"oviparous"	NA	7	6	8	NA	NA	NA	22.4	NA	NA	"Yes"	"Least Concern"	"Unknown"	NA
"Amphisbaena metallurga"	"Squamata"	"Amphisbaenia"	"Amphisbaenidae"	"Amphisbaena"	"Costa, Resende, Teixeira, Vechio & Clemente"	2015	"No"	"Neotropic"	"Fossorial"	NA	NA	NA	NA	NA	NA	"No"	"No"	NA	NA	NA	NA	NA	NA	NA	"non-fanged"	NA	215.6	NA	179	162.7	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"No"	NA	NA	NA
"Amphisbaena miringoera"	"Squamata"	"Amphisbaenia"	"Amphisbaenidae"	"Amphisbaena"	"Vanzolini"	1971	"No"	"Neotropic"	"Fossorial"	"Savanna"	NA	NA	NA	NA	NA	"No"	"No"	NA	NA	NA	NA	NA	NA	NA	"non-fanged"	NA	NA	NA	142	125.6	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"Yes"	"Least Concern"	"Unknown"	NA
"Amphisbaena mitchelli"	"Squamata"	"Amphisbaenia"	"Amphisbaenidae"	"Amphisbaena"	"Procter"	1923	"No"	"Neotropic"	"Fossorial"	"Forest"	NA	NA	NA	NA	NA	"No"	"No"	NA	NA	NA	NA	NA	NA	NA	"non-fanged"	NA	1.7	NA	165	NA	NA	68	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"Yes"	"Least Concern"	"Unknown"	NA
"Amphisbaena mongoyo"	"Squamata"	"Amphisbaenia"	"Amphisbaenidae"	"Amphisbaena"	"Texeira Junior, Dal Vechio, Recoder, Cassimiro, Sena & Rodrigues"	2019	"No"	"Neotropic"	"Fossorial"	NA	NA	NA	NA	NA	NA	"No"	"No"	NA	NA	NA	NA	NA	NA	NA	"non-fanged"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"No"	NA	NA	NA
"Amphisbaena munoai"	"Squamata"	"Amphisbaenia"	"Amphisbaenidae"	"Amphisbaena"	"Klappenbach"	1960	"No"	"Neotropic"	"Fossorial"	"Grassland"	100	500	NA	NA	21.69	"No"	"No"	"Carnivorous"	"Arthropods (AchavalAnd Olmos 2007, BalestrinAnd Cappellari 2011), mostly termites (Carreira etAl. 2005, Bernardo-Silva etAl. 2006, Lisboa etAl. 2016)"	NA	NA	NA	NA	NA	"non-fanged"	NA	2	NA	172	130.4	NA	NA	NA	"oviparous"	NA	1.8	1	2	NA	NA	NA	NA	NA	NA	"Yes"	"Least Concern"	"Stable"	NA
"Amphisbaena nana"	"Squamata"	"Amphisbaenia"	"Amphisbaenidae"	"Amphisbaena"	"Perez & Borges-Martins"	2019	"No"	"Neotropic"	"Fossorial"	NA	NA	NA	NA	NA	NA	"No"	"No"	NA	NA	NA	NA	NA	NA	NA	"non-fanged"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"No"	NA	NA	NA
"Amphisbaena neglecta"	"Squamata"	"Amphisbaenia"	"Amphisbaenidae"	"Amphisbaena"	"Dunn & Piatt"	1936	"No"	"Neotropic"	"Fossorial"	NA	NA	NA	NA	NA	NA	"No"	"No"	NA	NA	NA	NA	NA	NA	NA	"non-fanged"	NA	NA	NA	150	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"No"	"Data Deficient"	"Unknown"	NA
"Amphisbaena nigricauda"	"Squamata"	"Amphisbaenia"	"Amphisbaenidae"	"Amphisbaena"	"Gans"	1966	"No"	"Neotropic"	"Fossorial"	"Shrubland"	NA	NA	NA	NA	24.39	"No"	"No"	NA	NA	NA	NA	NA	NA	NA	"non-fanged"	NA	1.9	NA	168	123	NA	NA	NA	"oviparous"	NA	1.5	1	2	NA	NA	NA	NA	NA	NA	"No"	"Vulnerable"	"Unknown"	NA
"Amphisbaena persephone"	"Squamata"	"Amphisbaenia"	"Amphisbaenidae"	"Amphisbaena"	"Pinna, Mendonça, Bocchiglieri & Fernandes"	2014	"No"	"Neotropic"	"Fossorial"	NA	NA	NA	NA	NA	NA	"No"	"No"	NA	NA	NA	NA	NA	NA	NA	"non-fanged"	NA	1.6	NA	161	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"No"	NA	NA	NA
"Amphisbaena pretrei"	"Squamata"	"Amphisbaenia"	"Amphisbaenidae"	"Amphisbaena"	"Duméril & Bibron"	1839	"No"	"Neotropic"	"Fossorial"	"Savanna/Shrubland"	NA	NA	NA	NA	NA	"No"	"No"	NA	NA	NA	NA	NA	NA	NA	"non-fanged"	NA	107.2	NA	462	NA	NA	124	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"Yes"	"Least Concern"	"Unknown"	NA
"Amphisbaena prunicolor"	"Squamata"	"Amphisbaenia"	"Amphisbaenidae"	"Amphisbaena"	"Cope"	1885	"No"	"Neotropic"	"Fossorial"	"Forest/Grassland/Savanna"	NA	NA	NA	NA	NA	"No"	"No"	NA	NA	NA	NA	NA	NA	NA	"non-fanged"	NA	7.5	NA	238	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"Yes"	"Least Concern"	"Unknown"	NA
"Amphisbaena ridleyi"	"Squamata"	"Amphisbaenia"	"Amphisbaenidae"	"Amphisbaena"	"Boulenger"	1890	"No"	"Neotropic"	"Fossorial"	NA	NA	NA	NA	NA	NA	"Yes"	"No"	"Carnivorous"	"invertebrates (in captivity, Finley 1945), snails (HerrelAnd Holanova 2008)"	NA	NA	NA	NA	NA	"non-fanged"	NA	9.6	NA	253	NA	NA	128	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"No"	"Least Concern"	"Stable"	NA
"Amphisbaena roberti"	"Squamata"	"Amphisbaenia"	"Amphisbaenidae"	"Amphisbaena"	"Gans"	1964	"No"	"Neotropic"	"Fossorial"	"Savanna"	68	105	NA	NA	18.48	"No"	"No"	"Carnivorous"	"insects (Kearney 2003)"	NA	NA	NA	NA	NA	"non-fanged"	NA	12	NA	268	231	NA	NA	NA	"oviparous"	NA	4	2	6	NA	NA	NA	NA	NA	NA	"Yes"	"Least Concern"	"Unknown"	NA
"Amphisbaena sanctaeritae"	"Squamata"	"Amphisbaenia"	"Amphisbaenidae"	"Amphisbaena"	"Vanzolini"	1994	"No"	"Neotropic"	"Fossorial"	"Savanna"	NA	NA	NA	NA	NA	"No"	"No"	NA	NA	NA	NA	NA	NA	NA	"non-fanged"	NA	1.7	NA	165	165	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"No"	"Critically Endangered"	"Unknown"	NA
"Amphisbaena saxosa"	"Squamata"	"Amphisbaenia"	"Amphisbaenidae"	"Amphisbaena"	"Castro-Mello"	2003	"No"	"Neotropic"	"Fossorial"	"Savanna"	218	417	NA	NA	16.26	"No"	"No"	NA	NA	NA	NA	NA	NA	NA	"non-fanged"	NA	46.8	NA	375	290	NA	NA	NA	"oviparous"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"Yes"	"Near Threatened"	"Unknown"	NA
"Amphisbaena silvestrii"	"Squamata"	"Amphisbaenia"	"Amphisbaenidae"	"Amphisbaena"	"Boulenger"	1902	"No"	"Neotropic"	"Fossorial"	"Forest/Savanna"	273	455	NA	NA	14.98	"No"	"No"	NA	NA	NA	NA	NA	NA	NA	"non-fanged"	NA	1.6	NA	162	NA	NA	NA	NA	"oviparous"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"Yes"	"Least Concern"	"Stable"	NA
"Amphisbaena slevini"	"Squamata"	"Amphisbaenia"	"Amphisbaenidae"	"Amphisbaena"	"Schmidt"	1936	"No"	"Neotropic"	"Fossorial"	"Forest"	NA	NA	NA	NA	13.91	"No"	"No"	"Carnivorous"	"arthropodsAnd lumbricids (Starace 1998)"	"Nocturnal"	NA	NA	NA	NA	"non-fanged"	NA	0.5	NA	120	NA	NA	59	NA	"oviparous"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"No"	"Least Concern"	"Unknown"	NA
"Amphisbaena steindachneri"	"Squamata"	"Amphisbaenia"	"Amphisbaenidae"	"Amphisbaena"	"Strauch"	1881	"No"	"Neotropic"	"Fossorial"	"Savanna"	NA	NA	NA	NA	NA	"No"	"No"	NA	NA	NA	NA	NA	NA	NA	"non-fanged"	NA	8.2	NA	243	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"No"	"Least Concern"	"Stable"	NA
"Amphisbaena supernumeraria"	"Squamata"	"Amphisbaenia"	"Amphisbaenidae"	"Amphisbaena"	"Mott, Rodrigues & Dos Santos"	2009	"No"	"Neotropic"	"Fossorial"	"Shrubland"	NA	NA	NA	NA	NA	"No"	"No"	NA	NA	NA	NA	NA	NA	NA	"non-fanged"	NA	3.4	NA	195	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"No"	"Endangered"	"Unknown"	NA
"Amphisbaena talisiae"	"Squamata"	"Amphisbaenia"	"Amphisbaenidae"	"Amphisbaena"	"Vanzolini"	1995	"No"	"Neotropic"	"Fossorial"	"Savanna"	NA	NA	NA	NA	NA	"No"	"No"	NA	NA	NA	NA	NA	NA	NA	"non-fanged"	NA	NA	NA	130	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"No"	"Least Concern"	"Unknown"	NA
"Amphisbaena tiaraju"	"Squamata"	"Amphisbaenia"	"Amphisbaenidae"	"Amphisbaena"	"Perez & Borges-Martins"	2019	"No"	"Neotropic"	"Fossorial"	NA	NA	NA	NA	NA	NA	"No"	"No"	NA	NA	NA	NA	NA	NA	NA	"non-fanged"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"No"	NA	NA	NA
"Amphisbaena tragorrhectes"	"Squamata"	"Amphisbaenia"	"Amphisbaenidae"	"Amphisbaena"	"Vanzolini"	1971	"No"	"Neotropic"	"Fossorial"	NA	NA	NA	NA	NA	NA	"No"	"No"	NA	NA	NA	NA	NA	NA	NA	"non-fanged"	NA	NA	NA	110	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"No"	"Least Concern"	"Unknown"	NA
"Amphisbaena uroxena"	"Squamata"	"Amphisbaenia"	"Amphisbaenidae"	"Amphisbaena"	"Mott, Rodrigues, De Freitas & Silva"	2008	"No"	"Neotropic"	"Fossorial"	"Savanna"	NA	NA	NA	NA	NA	"No"	"No"	NA	NA	NA	NA	NA	NA	NA	"non-fanged"	NA	1.6	NA	163	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"No"	"Endangered"	"Unknown"	NA
"Amphisbaena vanzolinii"	"Squamata"	"Amphisbaenia"	"Amphisbaenidae"	"Amphisbaena"	"Gans"	1963	"No"	"Neotropic"	"Fossorial"	NA	NA	NA	NA	NA	21.43	"No"	"No"	"Carnivorous"	"invertebrates (Avila-Pires etAl. 2010,Arthropods: Starace 2013)"	NA	NA	NA	NA	NA	"non-fanged"	NA	1.3	NA	153	137	NA	NA	NA	"oviparous"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"No"	"Least Concern"	"Unknown"	NA
"Amphisbaena vermicularis"	"Squamata"	"Amphisbaenia"	"Amphisbaenidae"	"Amphisbaena"	"Wagler"	1824	"No"	"Neotropic"	"Fossorial"	"Forest/Savanna"	40	50	NA	NA	25.88	"No"	"No"	NA	NA	NA	NA	NA	NA	NA	"non-fanged"	NA	26.3	NA	325	NA	NA	90	NA	"oviparous"	NA	4	4	4	NA	NA	NA	NA	NA	NA	"Yes"	"Least Concern"	"Stable"	NA
"Anilius scytale"	"Squamata"	"Serpentes"	"Aniliidae"	"Anilius"	"Linnaeus"	1758	"Anilius scytale phelpsorum ROZE 1958
Anilius scytale scytale (LINNAEUS 1758)"	"Neotropic"	"Fossorial/Terrestrial"	"Forest/Savanna/Wetlands"	0	100	NA	NA	0.3	"No"	"Yes"	"Carnivorous"	"Amphibians, fishes, invertebrates, reptiles "	"Nocturnal"	"Black"	"Banded"	"ACT"	NA	"non-fanged"	NA	340.1	1200	NA	NA	NA	NA	NA	"ovoviviparous"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"Yes"	"Least Concern"	"Stable"	NA
"Anolis auratus"	"Squamata"	"Sauria"	"Anolidae"	"Anolis"	"Daudin"	1802	"No"	"Neotropic"	"Arboreal/Terrestrial"	"Grassland/Savanna"	0	2400	NA	NA	16.26	"No"	"No"	"Carnivorous"	"Arthropods"	"Diurnal"	NA	NA	"AMB"	NA	"non-fanged"	NA	3.9	NA	57	47.7	NA	19.7	NA	"oviparous"	NA	1	1	2	NA	NA	NA	32.3	NA	NA	"Yes"	"Least Concern"	"Stable"	NA
